CMDLINE /home/vagrant/src/interview_prep/env/bin/python3.6 binary_sort.py
MEM 1.585938 1586066719.0589
MEM 8.390625 1586066719.1594
MEM 12.152344 1586066719.2601
MEM 15.839844 1586066719.3605
MEM 21.855469 1586066719.4610
MEM 24.500000 1586066719.5617
MEM 29.007812 1586066719.6621
MEM 35.191406 1586066719.7626
MEM 39.273438 1586066719.8631
MEM 41.234375 1586066719.9635
MEM 42.746094 1586066720.0639
MEM 44.734375 1586066720.1644
MEM 46.015625 1586066720.2648
MEM 46.046875 1586066720.3653
MEM 47.058594 1586066720.4660
