CMDLINE /home/vagrant/src/interview_prep/env/bin/python3.6 bubble_sort.py
MEM 0.750000 1586066877.3477
MEM 8.207031 1586066877.4486
MEM 12.035156 1586066877.5494
MEM 17.929688 1586066877.6501
MEM 22.183594 1586066877.7505
MEM 24.750000 1586066877.8512
MEM 28.937500 1586066877.9517
MEM 35.011719 1586066878.0522
MEM 39.140625 1586066878.1525
MEM 41.054688 1586066878.2529
MEM 42.972656 1586066878.3536
MEM 44.773438 1586066878.4541
MEM 45.847656 1586066878.5545
MEM 45.847656 1586066878.6550
MEM 46.945312 1586066878.7560
