CMDLINE /home/vagrant/src/interview_prep/env/bin/python3.6 merge_sort.py
MEM 0.718750 1586067107.6519
MEM 8.210938 1586067107.7525
MEM 11.781250 1586067107.8535
MEM 17.980469 1586067107.9540
MEM 22.187500 1586067108.0550
MEM 24.164062 1586067108.1557
MEM 27.871094 1586067108.2561
MEM 32.714844 1586067108.3565
MEM 36.503906 1586067108.4570
MEM 40.359375 1586067108.5578
MEM 42.265625 1586067108.6585
MEM 44.105469 1586067108.7590
MEM 45.531250 1586067108.8594
MEM 45.847656 1586067108.9598
MEM 46.941406 1586067109.0602
MEM 46.941406 1586067109.1605
MEM 46.941406 1586067109.2611
MEM 46.941406 1586067109.3616
MEM 46.941406 1586067109.4621
MEM 46.941406 1586067109.5625
MEM 46.941406 1586067109.6631
MEM 46.941406 1586067109.7641
MEM 46.941406 1586067109.8650
MEM 46.941406 1586067109.9655
MEM 46.941406 1586067110.0659
MEM 46.941406 1586067110.1664
MEM 46.941406 1586067110.2670
MEM 46.941406 1586067110.3677
MEM 46.941406 1586067110.4686
MEM 46.941406 1586067110.5691
MEM 46.941406 1586067110.6696
MEM 46.941406 1586067110.7701
MEM 46.941406 1586067110.8705
MEM 46.941406 1586067110.9714
MEM 46.941406 1586067111.0718
MEM 46.941406 1586067111.1722
MEM 46.941406 1586067111.2726
MEM 46.941406 1586067111.3731
MEM 46.941406 1586067111.4740
MEM 46.941406 1586067111.5747
MEM 46.941406 1586067111.6752
MEM 46.941406 1586067111.7757
MEM 46.941406 1586067111.8765
MEM 46.941406 1586067111.9769
MEM 46.941406 1586067112.0773
MEM 46.941406 1586067112.1781
MEM 46.941406 1586067112.2785
MEM 46.941406 1586067112.3789
MEM 46.941406 1586067112.4793
MEM 46.941406 1586067112.5797
MEM 46.941406 1586067112.6805
MEM 46.941406 1586067112.7814
